competitor,product,source_platform,review_id,date,rating,title,body,reviewer_name,is_verified,is_recommended,helpful_count,reviewer_attributes
Divi,30ml Scalp Serum,okendo,5e5ed8d1-e1c4-4797-aa05-8ce1983a50eb,2026-03-27T16:27:18.715Z,5,Just what my scalp needed!,"I am pleased with Divi’s scalp serum. So much so that I got their shampoo and conditioner. Love how it feels on my scalp. And, my hair looks fuller!!  Thanks!",Sandra F.,True,True,0,"{""age"": ""55+"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Hair Thinning or Shedding, Breakage or Split Ends"", ""hair_texture"": ""Wavy"", ""scalp_type"": ""Normal""}"
Divi,100ml Scalp Serum,okendo,f221f611-6e31-430d-9974-da41f33ea16c,2026-03-27T07:54:32.888Z,3,5 weeks of use,I have been using it daily for 5 weeks and haven’t noticed any changes. I’ll continue to use it and hopefully be able to make a better review. It does smell really good!!!!,Natalia R. L.,True,,0,"{""age"": ""25-34"", ""color_treated"": ""No"", ""hair_concerns"": ""Hair Thinning or Shedding"", ""hair_texture"": ""Wavy"", ""scalp_type"": ""Oily""}"
Divi,100ml Scalp Serum,okendo,116cd1c2-534b-497b-a7be-193fce4e35e9,2026-03-26T19:30:28.995Z,5,Great product,I’ve been using the serum for several years and my hair continues to get thicker and healthier - my hairdresser can’t believe the growth month to month,Ranie H.,True,True,0,"{""age"": ""55+"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Hair Thinning or Shedding"", ""hair_texture"": ""Wavy"", ""scalp_type"": ""Normal""}"
Divi,100ml Scalp Serum,okendo,b2d4c403-df1a-4030-b462-fa9bd33b12b7,2026-03-25T01:40:11.639Z,5,Hair serum,"I love this stuff, everytime I put it on my scalp,  I can feel it tingle  and I just love the smell as well. Great product.",Paula M.,True,True,0,"{""age"": ""55+"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Hair Thinning or Shedding"", ""hair_texture"": ""Wavy"", ""scalp_type"": ""Normal""}"
Divi,100ml Scalp Serum,okendo,9283a761-d3c8-41a4-ac8c-f9e8a580af40,2026-03-24T14:35:11.871Z,5,New go to,"This serum has helped my hair grow and thicken, which I never thought it would. It also stops my hair from becoming oily, helping me wash it 1-2 times per week instead of everyday, which I had to do for years before discovering this. I  have already gotten multiple refills and have recommended it to everyone I know!",kaylin c.,True,True,0,"{""age"": ""18-24"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Breakage or Split Ends , Oily Scalp, Hair Thinning or Shedding"", ""hair_texture"": ""Straight"", ""scalp_type"": ""Dry""}"
Divi,100ml Scalp Serum,okendo,86279c4a-90ad-4d9f-92b2-d63040786a73,2026-03-24T13:43:16.857Z,5,It really works!,I have tried other brands that were much more expensive and they didn't work like this serum. So impressed!,Lauren E.,True,True,0,"{""age"": ""25-34"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Hair Thinning or Shedding"", ""hair_texture"": ""Wavy"", ""scalp_type"": ""Normal""}"
Divi,Scalp Serum Sample,okendo,a23ef16e-d9ba-4329-91de-a197d7e43e99,2026-03-15T18:22:54.419Z,5,Great!,Love the way this makes my scalp feel.  I hope to use it again fish the road to help with my dry itchy scalp to improve,Whitney G.,True,True,0,"{""age"": ""35-44"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Itchy or Flaky Scalp"", ""hair_texture"": ""Curly"", ""scalp_type"": ""Dry""}"
Divi,30ml Scalp Serum,okendo,a89c416c-7f26-4f8a-917a-488b58ad3646,2026-03-15T05:17:35.540Z,5,Tried others and this one works!!!,"With all the glow up peptides, serums, treatments etc.    this product is the cherry on top!!",Leandra M.,True,True,0,"{""age"": ""35-44"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Hair Thinning or Shedding, Breakage or Split Ends , Itchy or Flaky Scalp"", ""hair_texture"": ""Curly"", ""scalp_type"": ""Normal""}"
Divi,30ml Scalp Serum,okendo,cfd1ac9c-6326-467c-b59d-ceb1135bd884,2026-03-14T12:58:47.622Z,5,Serum,"This stuff is magic! I saw Brittany Mahomes on her hair journey and her progress so I decided I needed to try this too. My hair is full again, my waves are back and the moisture has returned to my hair! No more dry flat hair from menopause.",Brooke M.,True,True,1,"{""age"": ""45-54"", ""color_treated"": ""Yes"", ""hair_concerns"": ""Hair Thinning or Shedding"", ""hair_texture"": ""Wavy"", ""scalp_type"": ""Normal""}"
Divi,30ml Scalp Serum,okendo,4bff4a1b-c1ab-4a29-8dd7-713987e4276d,2026-03-13T21:59:48.750Z,5,First time user,"So far I love it. On my first bottle, but it doesn’t leave my hair greasy feeling or feel dirty. I am going to keep ordering l!",Jamie N.,True,True,0,"{""age"": ""35-44"", ""color_treated"": ""No"", ""hair_concerns"": ""Hair Thinning or Shedding, Breakage or Split Ends , Itchy or Flaky Scalp"", ""hair_texture"": ""Straight"", ""scalp_type"": ""Normal""}"
