competitor,product,source_platform,review_id,date,rating,title,body,reviewer_name,is_verified,is_recommended,helpful_count,reviewer_attributes
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,c8f5e1ab53e82e5a,2026-03-25T14:00:00,,"if you are balding, try this",I bought this in Jan and i have been using it ever since. at first i didnt notice anything but now i have a lot of baby hair and im finally not balding!!! make sure you use it after you massage your,laalaaaaaaa,True,True,0,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,1a6f31cbf2335bae,2026-03-23T00:00:00,,Headache,"I really wanted to give this product a fair shot, but unfortunately this gave me the most intense and long lasting headache I've ever had. I've been a long time minoxadil user and never had any issues with that, but this I can't tolerate. Apart from it giving me a week-long headache, it left my hair so greasy that I can't imagine using this on a daily basis.",JoyceGomez,False,False,0,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,03e72aec1fd40601,2026-03-21T00:00:00,,Worth every penny.,"Game changer in my routine now. I started to loose hair from stress and this has saved my liiiiife. I noticed results after a month, it’s now been about 7 months and there’s a night and day difference with re growth + shedding.",eemilyannee,False,True,3,"{""hair_color"": ""Auburn""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,5aba409b69873329,2026-03-18T00:00:00,,A must have in my routine,"I’ve been using this serum for about a year. It’s lightweight, easy to apply, and doesn’t leave my scalp greasy. Over time, my hair feels healthier and a bit stronger, and some areas look slightly fuller. It’s gentle and easy to include in my routine, so I’m happy to keep using it.",amruthanjana,False,True,1,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,8cf9a3d6083175dc,2026-03-17T00:00:00,,From an alopecia girl,"Been using this for about a year at this point, and I originally started my usage due to some bad alopecia areata flare ups. I believe it’s genuinely effective, it most definitely decreases hair loss when it is massaged into the scalp consistently, and I have actually seen new hairs sprouting from completely bald patches on my hair after a couple months of usage. If there is anyone else who is going through alopecia spot balding or thinning in general, I really recommend you try it! This serum definitely gave me hope during dark times with my hair and it continues to impress me.",ArielJayde,False,True,8,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,57f59556feafeee2,2026-03-17T00:00:00,,,"I’m on my second bottle and this product really works. I have long thick hair and I wasn’t necessarily using this for hair growth, but just as a strengthening serum however I do see that there has been hair growth. You just have to be consistent..",Maa888sha,False,True,0,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,0294906a97167369,2026-03-15T00:00:00,,Hydrating and effective product!,I’ve been using it religiously for a couple months and can already see some new growth!,Joon21,True,True,3,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,4991c12d8172386d,2026-03-15T00:00:00,,It works!,i have been using it every night since last month..noticed some baby hair already,simmeet,False,False,0,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,f92e91ce17ff6872,2026-03-05T00:00:00,,Calling all gurls! Take care of your scalp!,"This hair serum is fairly easy to apply, but it doesn’t feel very pleasant during application as it tends to leave a thicker layer on the scalp. It’s meant for hair growth, but so far the results have been quite minimal and not very noticeable. It does serve the basic purpose of a hair growth serum, but the overall experience and effectiveness were not very impressive.",Jaybeautiful,False,True,7,"{""hair_color"": ""Brown""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,8368c89e34474779,2026-02-28T00:00:00,,,"I had back to back infections on my face which ate up my hairline. I saw this product out due to the caffeine ingredient, which is known to a stimulator as well as the peptides. I noticed new growth after 6 to 8 months of consistent use and now at two years, I can say that my hairline is fully intact",1NAMLN,False,True,58,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,0071a9347b597320,2026-02-27T00:00:00,,,"After losing my hair due to Covid, this helped me grow my hair back. I use it every other day and massage it into my scalp for 10 minutes. Within 6 months my hairstylist was showing me all the new growth I had! Brought back some missing volume. I've been using it for 8 months now and will continue to use it since it works so well!",nimritkd,False,True,9,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,3b334be6cb3dd34e,2026-02-25T00:00:00,,,I quite enjoy this product for soothing my scalp and increasing the density of my coil/curly hair.,Chicagowhit,False,True,5,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,25e8e3a0ad882345,2026-02-24T00:00:00,,Best product ever buyed.,I’m currently on second bottle of this product. To be honest I am seeing visible results after using this product. My hairs are shedding less than before. This formula is non- greasy as well. Must buy stay consistent with the use to see results.,Preetaur,True,True,4,"{""hair_color"": ""Blonde""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,c1dece8831a8b84e,2026-02-23T00:00:00,,New hairs growing!,"I have had a terrible hair loss the last couple of years, tried many things that didn't work and this one seems to work wonders so far. I try to use it every day for the last two months and I have noticed a significant improvement in my hair loss and growth. I do recommend it.",Elenagall,False,False,7,"{""hair_color"": ""Blonde""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,bd1bf367dde31358,2026-02-22T00:00:00,,Caused scalp irritation.,I had to stop using the product as it started to irritate my scalp and left a lot of irritation and discomfort.,moxieb,False,True,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,5fb6ba4512f04d66,2026-02-16T00:00:00,,Nope,I used a small amount and my hair was greasy. Next day I woke up to a ton of white flakes in my hair. I returned this.,RobotMom,False,True,3,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,7b5f0fa16002bdb0,2026-02-13T00:00:00,,Highly recommend,It made my hair look greasy. Did not like it very much. To expensive for something that doesn’t do anything except make your hair greasy.,sandy11101,False,False,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,fc9d9900cb021f8a,2026-02-10T00:00:00,,,"Love this one. I see some difference in my hairs, they became healthier. The only complaint I have is it finishes faster. I finished mine within a month.",TJ97,False,False,2,
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,2b2887022dda4ff6,2026-02-10T00:00:00,,It works really well,It really works. I’ve been using this product for a couple years but have been more consistent within the last few months and im noticing lots of new baby hair of where im applying the product by my hairline.,amivu,True,True,3,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,61cb735c452b7c8c,2026-02-09T00:00:00,,Effective!,"Full disclosure I’ve been using Bur Bur oil since October and only just picked this up a few weeks ago. That being said, something about this seems to have set off new growth in a way the Bur Bur wasn’t doing alone. I suspect the combo of Bur Bur (DHT blocker) and this (which includes Capixyl) is what really kicked things up a notch. I use the Bur Bur 2x per week and this 5x per week. I fear consistency actually is key. Re making your hair look greasy, yeah it does. I put this in at night. Do I shower beforehand so I have *freshly* cleaned hair? Nah. I wash my hair every morning and I don’t use a ton of product near my roots. I find my scalp is clean enough for it to still be effective if I put it on at the end of the day. It washes out cleanly in the morning. Another thing, I could see this drying out your scalp if you didn’t do any other kind of deep hydrating. Between Bur Bur and the Amika hydrorush line my bases seem to be covered. If you’re experiencing flakiness, I’d consider a focusing on scalp detox and hydration.",hayJay777,False,False,5,"{""hair_color"": ""Black""}"
The Ordinary,Multi-Peptide Serum for Hair Density,sephora,7566d7f847500c2e,2026-02-09T00:00:00,,Gave me new baby hair.,Didn’t work for me am trying every serum actually started with expensive one and this is second one wasted my money,sharon019,False,True,4,"{""hair_color"": ""Blonde""}"
